,screen_name,description
1453,lynwis,old enough to know better than be on Twitter. I am a European living in Europe and so wish to remain in the EU. Revoke A50.
5821,walkuphill,"old, boring, arthritic, JoJo fan"
7182,RaisonSteven,born chesterfield 1963 from Clowne. Lives at Vale Close in Bolsover.
7844,CookeLouise,"born in Bedford Falls, living in Pottersville. Anti-fascist and really pedantic."
22599,BarbaraNairn,"older and wiser,  I voted yes"
28666,peterharris567,older animal lover who values truth honesty and loyalty! auld hippy who hates that the aristos/toffs berate poor for being poor! but toffs have never worked !
29938,leonminster,"born 1941, educated Taunton's School Southampton & Birmingham University. RT = understood: no more no less."
43497,jennistevenson,born with a foot in my mouth.
66977,jono_pce,born again cyclist
